,File Name,Signal Power(w),Logic Power(w),Static Power(w),DC Power(w),Total Power(w),DataPath Delay,F7_Muxes,LUT_as_Memory,LUT_as_Logic,Slice_LUTs,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,LUT7,LUT_as_Logic2,Slice_LUTs2,LUTs_difference
0,top_CLA8.sv,0.167,0.065,0.088,0.232,4.895,9.882,0,0,13,13,0,1,2,3,3,6,0,15,15,2
1,top_CLA16.sv,0.5,0.194,0.156,0.694,11.046,12.463,0,0,35,35,0,6,4,8,5,22,0,45,45,10
2,top_CLA32.sv,1.749,0.505,0.485,2.254,23.213,18.806,0,0,96,96,0,26,9,14,15,59,0,123,123,27
3,top_FIFO.sv,2.113,1.717,0.28,3.83,15.772,8.537,88,0,275,275,4,3,3,3,43,225,0,281,281,6
4,top_Q1.sv,0.174,0.052,0.092,0.226,5.603,9.575,0,0,8,8,0,0,4,0,8,0,0,12,12,4
5,top_Q2.sv,0.138,0.081,0.083,0.219,3.938,9.262,0,0,16,16,0,3,0,4,2,11,0,20,20,4
6,top_Q3.sv,0.033,0.012,0.072,0.045,0.754,7.613,0,0,3,3,0,0,0,2,1,1,0,4,4,1
7,top_Q4_Mealy.sv,0.017,0.023,0.071,0.04,0.318,4.729,0,0,2,2,0,0,3,0,0,0,0,3,3,1
8,top_Q4_Moore.sv,0.015,0.026,0.07,0.041,0.193,5.756,0,0,2,2,0,0,1,3,0,0,0,4,4,2
9,top_traffic_controller.sv,0.103,0.117,0.073,0.22,1.079,6.74,0,0,39,39,5,4,5,15,15,8,0,52,52,13
